               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11188,            0.033397,                   0,           0.0011852,             0.23188,          0.00085817,          0.00028899,             0.10608,            0.022986,                   0,            0.070857,           0.0032381,           0.0032381
                   1,             0.11151,            0.033212,                   0,           0.0011852,             0.23188,            0.000768,          0.00024686,             0.10632,            0.023139,                   0,            0.040814,           0.0065281,           0.0065281
                   2,             0.11016,            0.032727,                   0,           0.0048376,            0.028986,           0.0012864,          0.00034698,             0.10658,            0.023834,                   0,            0.010726,            0.009774,            0.009774
                   3,             0.10675,            0.034193,                   0,           0.0040603,             0.15217,           0.0014467,          0.00038787,                 nan,                 nan,                   0,            0.009802,            0.009802,            0.009802
                   4,             0.10455,            0.033778,                   0,           0.0018916,             0.22464,           0.0012183,          0.00062401,                 nan,                 nan,                   0,            0.009802,            0.009802,            0.009802
                   5,             0.10008,            0.033818,                   0,          0.00031976,            0.014493,          8.4667e-05,          1.6564e-05,                 nan,                 nan,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.093806,            0.033941,                   0,          0.00043309,             0.07971,          0.00039483,          0.00012662,                 nan,                 nan,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.088884,            0.032767,                   0,            0.019777,            0.072464,           0.0073663,            0.002027,            0.097963,            0.023979,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.086193,            0.032254,                   0,           0.0024444,             0.47826,           0.0088134,             0.00215,            0.091439,            0.020078,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.083448,            0.031051,                   0,            0.041996,             0.23913,            0.025376,           0.0048862,            0.087139,            0.019589,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.081816,            0.029769,                   0,            0.033571,             0.18841,            0.014908,           0.0032342,             0.08376,            0.020784,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.080806,            0.028987,                   0,              0.1911,             0.24638,            0.096698,            0.024784,            0.084337,             0.02021,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.078339,             0.02834,                   0,             0.24458,             0.19565,             0.13235,            0.041133,            0.074455,            0.020117,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.076964,            0.028104,                   0,             0.28722,             0.23188,             0.17987,            0.053352,            0.071663,            0.019321,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.074564,             0.02732,                   0,             0.29172,             0.23913,              0.1815,            0.050208,            0.068508,            0.019763,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.074568,            0.027937,                   0,             0.27691,             0.27536,             0.22583,            0.071766,             0.06801,             0.02051,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.071797,            0.027802,                   0,             0.34707,             0.30435,             0.25965,            0.084864,            0.065865,            0.019417,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.072062,            0.024697,                   0,             0.19868,             0.26812,             0.14007,            0.038002,             0.07551,            0.022761,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.069235,            0.026084,                   0,             0.32093,             0.32609,             0.27069,            0.067321,            0.070454,             0.02095,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.067166,            0.026389,                   0,             0.32413,             0.36232,             0.28923,            0.099799,            0.065412,            0.019884,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.067912,             0.02561,                   0,             0.42895,              0.4058,             0.37815,             0.13296,            0.060287,            0.019332,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.067203,            0.024792,                   0,             0.49474,              0.4058,              0.4171,             0.13234,            0.062159,            0.018075,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.065658,            0.024497,                   0,             0.38469,             0.44398,             0.37772,             0.12662,             0.06131,             0.01861,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.063799,             0.02474,                   0,             0.33619,             0.35507,             0.27836,            0.090029,            0.060846,            0.018333,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.063572,            0.026383,                   0,               0.393,             0.45652,             0.40586,             0.15621,            0.056967,            0.018597,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.063368,            0.025871,                   0,             0.33743,             0.26812,             0.24246,            0.089696,            0.067245,            0.019862,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.061505,            0.025014,                   0,             0.44779,             0.49275,             0.43643,             0.16053,            0.055603,            0.018281,                   0,             0.00835,             0.00835,             0.00835
                  27,             0.06142,            0.025387,                   0,             0.58345,             0.45652,              0.4847,             0.17529,            0.057209,            0.018687,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.059272,             0.02506,                   0,             0.44357,             0.46214,             0.37741,             0.14543,            0.061401,            0.018333,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.059762,             0.02417,                   0,             0.46381,             0.43478,             0.43566,             0.16717,            0.057011,            0.017312,                   0,            0.008152,            0.008152,            0.008152
                  30,             0.05838,            0.023889,                   0,             0.44636,             0.49275,              0.4155,             0.17138,            0.059453,             0.01701,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.058492,            0.024036,                   0,             0.46876,             0.52174,             0.46847,             0.18586,            0.055998,            0.018575,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.056808,            0.023778,                   0,             0.49362,             0.57971,             0.52642,             0.19452,            0.055249,            0.017392,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.057782,            0.023544,                   0,             0.49835,                 0.5,             0.45337,             0.14174,            0.061772,            0.017095,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.056771,            0.024155,                   0,              0.5749,             0.47826,             0.47017,             0.15978,             0.05617,            0.017396,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.056511,            0.024604,                   0,             0.62469,                 0.5,              0.5527,             0.23494,            0.054086,            0.017173,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.057056,            0.023122,                   0,             0.59948,             0.49275,             0.47963,             0.17712,            0.053952,            0.017667,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.056257,            0.024024,                   0,             0.61815,             0.47101,              0.5368,             0.20809,            0.056289,            0.016667,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.055523,            0.023144,                   0,             0.50188,                 0.5,             0.47617,             0.16917,            0.059315,            0.017469,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.054614,            0.023501,                   0,             0.53055,                 0.5,             0.45385,               0.159,            0.056436,            0.017297,                   0,            0.007492,            0.007492,            0.007492
